"Module"	"Gene1"	"Gene2"
"M1"	"PPP6R1"	"GRIA3"
"M1"	"DNAJB1"	"PTPRA"
"M1"	"DNAJB1"	"KIF5A"
"M1"	"DNAJB1"	"CR2"
"M1"	"SHH"	"SLC4A1AP"
"M1"	"SHH"	"ORC3"
"M1"	"ZDHHC6"	"EIF1AY"
"M1"	"ICAM3"	"CCM2"
"M1"	"ICAM3"	"DUSP16"
"M1"	"ICAM3"	"SCUBE1"
"M1"	"WWTR1"	"USO1"
"M1"	"WWTR1"	"PDGFB"
"M1"	"WWTR1"	"SIGLEC8"
"M1"	"WWTR1"	"PRDX5"
"M1"	"WWTR1"	"KIRREL"
"M1"	"WWTR1"	"SNAPC4"
"M1"	"WWTR1"	"EPB41"
"M1"	"WWTR1"	"SART1"
"M1"	"WWTR1"	"DUSP16"
"M1"	"WWTR1"	"ASB3"
"M1"	"WWTR1"	"ZIC3"
"M1"	"WWTR1"	"RQCD1"
"M1"	"WWTR1"	"TRIM37"
"M1"	"WWTR1"	"ARL4C"
"M1"	"TAF4"	"USP9Y"
"M1"	"TAF4"	"REN"
"M1"	"TAF4"	"ITPR3"
"M1"	"TAF4"	"NTRK2"
"M1"	"TAF4"	"PTN"
"M1"	"TAF4"	"TBC1D16"
"M1"	"TAF4"	"PPP4R2"
"M1"	"TAF4"	"CNTFR"
"M1"	"TAF4"	"CDKN1C"
"M1"	"TAF4"	"NGEF"
"M1"	"TAF4"	"ACCS"
"M1"	"NOV"	"TAPBP"
"M1"	"NOV"	"PPL"
"M1"	"NOV"	"SRSF9"
"M1"	"NOV"	"CSMD1"
"M1"	"NOV"	"TIMM17A"
"M1"	"NOV"	"SDK1"
"M1"	"NOV"	"TIMP2"
"M1"	"NOV"	"DPYSL3"
"M1"	"NOV"	"POU1F1"
"M1"	"NOV"	"HPRT1"
"M1"	"NOV"	"MYH14"
"M1"	"NOV"	"TCF19"
"M1"	"NOV"	"PRTN3"
"M1"	"NOV"	"TNIK"
"M1"	"NOV"	"IGFALS"
"M1"	"NOV"	"FUT4"
"M1"	"NOV"	"CORO7"
"M1"	"NOV"	"PRF1"
"M1"	"NOV"	"VPS28"
"M1"	"NOV"	"PTP4A1"
"M1"	"NOV"	"PABPC3"
"M1"	"NOV"	"PDE6D"
"M1"	"NOV"	"ASCL4"
"M1"	"NOV"	"PDHB"
"M1"	"NOV"	"TCTEX1D4"
"M1"	"DHRS2"	"RNF39"
"M1"	"DHRS2"	"TLN1"
"M1"	"DHRS2"	"LGR5"
"M1"	"DHRS2"	"EXOSC5"
"M1"	"DHRS2"	"SOX9"
"M1"	"DHRS2"	"ARNT"
"M1"	"DHRS2"	"MED21"
"M1"	"DHRS2"	"DUS2"
"M1"	"DHRS2"	"KRT15"
"M1"	"DPP4"	"FBXL3"
"M1"	"DPP4"	"DR1"
"M1"	"DPP4"	"APOA4"
"M1"	"DPP4"	"POLR1E"
"M1"	"DPP4"	"ZFP91"
"M1"	"DPP4"	"MAPK8"
"M1"	"DPP4"	"DOCK4"
"M1"	"DPP4"	"SYTL4"
"M1"	"DPP4"	"TAPBP"
