"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"Extracellular matrix organization"	"Extracellular matrix organization"	"61/626"	"266/7644"	4.11195541432065e-14	4.07494781559176e-11	3.64881938344453e-11	"SPARC/TIMP1/DCN/COL4A2/DDR2/COL1A2/TNXB/FN1/PPIB/NCAM1/LUM/FBLN1/THBS1/VTN/PRKCA/COL15A1/NID1/MMP2/VCAM1/ADAMTS1/VCAN/FBLN5/EFEMP1/PCOLCE/LAMC3/COL6A3/COL12A1/COL27A1/SDC1/ITGA2/LAMA2/COL4A3/LAMB3/COL16A1/FBN2/MFAP4/JAM2/COL4A4/SDC2/COL14A1/ADAMTS2/FMOD/SPP1/ELN/BMP4/TNC/ITGA8/MMP15/COL8A1/LOXL3/FBLN2/ITGB8/COL9A2/COL7A1/MFAP5/PCOLCE2/MMP24/PRSS1/ACAN/ICAM3/FGA"	61
"M1"	"Biological oxidations"	"Biological oxidations"	"37/626"	"174/7644"	4.39845015614695e-08	2.17943205237081e-05	1.95152288506941e-05	"CYP17A1/CYP11B1/MGST1/GSTA1/PAPSS2/SULT2A1/GSTA4/GSTP1/SLC26A2/ALDH1A1/ADH1B/MAOB/CYP11B2/SULT1A1/GGT5/NCOA2/ACSS1/GSTA3/CYP3A5/CYP2W1/NNMT/CYP1B1/FMO2/CYP51A1/SULT1E1/PTGIS/CYP26B1/GSTM1/POMC/FMO3/FMO1/GSTA2/CYP4F11/CYP4B1/SULT1A3/MAT1A/GSTT2"	37
"M1"	"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)"	"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)"	"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)"	"Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)"	"Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP19A1 causes Aromatase excess syndrome (AEXS)"	"Defective CYP19A1 causes Aromatase excess syndrome (AEXS)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP1B1 causes Glaucoma"	"Defective CYP1B1 causes Glaucoma"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)"	"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
"M1"	"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)"	"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)"	"20/626"	"78/7644"	2.89635142823848e-06	0.000130467466608379	0.000116824126985887	"CYP17A1/CYP11B1/ALDH1A1/ADH1B/MAOB/CYP11B2/NCOA2/ACSS1/CYP3A5/CYP2W1/CYP1B1/FMO2/CYP51A1/PTGIS/CYP26B1/POMC/FMO3/FMO1/CYP4F11/CYP4B1"	20
