"genes"	"modules"
"CYP17A1"	"M1"
"CYP11B1"	"M1"
"STAR"	"M5"
"DHCR24"	"M1"
"AKR1B1"	"M1"
"APOE"	"M1"
"CLU"	"M1"
"DLK1"	"M1"
"SCARB1"	"M5"
"NEAT1"	"M1"
"CYP21A2"	"M5"
"MEG3"	"M1"
"GAPDH"	"M1"
"SPARC"	"M1"
"CYP11A1"	"M5"
"HSPD1"	"M5"
"C7"	"M1"
"HSD3B2"	"M1"
"C3"	"M1"
"SERPINA5"	"M1"
"RARRES2"	"M1"
"TXNIP"	"M1"
"CD74"	"M3"
"KCNK3"	"M1"
"AOX1"	"M1"
"ALAS1"	"M1"
"MALAT1"	"M1"
"UBC"	"M1"
"SREBF1"	"M1"
"IGFBP5"	"M1"
"MT2A"	"M5"
"HSPB1"	"M1"
"MGST1"	"M1"
"PEG10"	"M1"
"NOV"	"M1"
"TIMP3"	"M1"
"FDX1"	"M5"
"GJA1"	"M1"
"CTSA"	"M1"
"TIMP1"	"M1"
"SOD2"	"M1"
"FOSL2"	"M1"
"SCD"	"M5"
"PDK4"	"M1"
"SQSTM1"	"M1"
"MGP"	"M1"
"VIM"	"M1"
"NR5A1"	"M5"
"NDRG2"	"M1"
"SLC40A1"	"M5"
"LENG8"	"M1"
"ABCC3"	"M1"
"ZNF275"	"M1"
"DCN"	"M1"
"AS3MT"	"M1"
"PEG3"	"M3"
"LDLR"	"M5"
"GPX3"	"M1"
"GRAMD1B"	"M1"
"RPL7"	"M1"
"GSTA1"	"M1"
"ABCB1"	"M1"
"PAPSS2"	"M1"
"NDRG4"	"M1"
"UBB"	"M1"
"TM7SF2"	"M1"
"SULT2A1"	"M1"
"IGFBP4"	"M1"
"SEMA3B"	"M1"
"APOC1"	"M1"
"STAB1"	"M1"
"HSPE1"	"M5"
"SORBS2"	"M1"
"DUSP1"	"M4"
"ABLIM1"	"M1"
"TSPYL2"	"M1"
"GSTA4"	"M1"
"RAB31"	"M1"
"METTL7A"	"M1"
"IGF2"	"M1"
"TBC1D4"	"M1"
"KCNQ1"	"M1"
"LY6E"	"M1"
"RPL9"	"M1"
"C1R"	"M1"
"MAP3K5"	"M1"
"TPM2"	"M1"
"BRE"	"M1"
"C1S"	"M1"
"COL4A2"	"M1"
"CHGB"	"M2"
"SLC16A9"	"M1"
"JUND"	"M4"
"MAGED2"	"M1"
"TCIRG1"	"M1"
"FAM166B"	"M1"
"JUNB"	"M4"
"PTP4A1"	"M5"
"DDR2"	"M1"
"COL1A2"	"M1"
"LSP1"	"M3"
"H19"	"M1"
"SLC47A1"	"M1"
"NUPR1"	"M1"
"NR4A1"	"M4"
"SGK1"	"M1"
"DNAJB1"	"M1"
"QPCT"	"M3"
"RGN"	"M1"
"CSDC2"	"M1"
"RGS5"	"M2"
"RPS27"	"M1"
"LONRF2"	"M1"
"KAT2A"	"M1"
"HLA-DRA"	"M3"
"ABCA1"	"M1"
"S100A6"	"M1"
"SEMA6A"	"M1"
"FASN"	"M5"
"COL1A1"	"M3"
"TNXB"	"M1"
"NFIC"	"M1"
"HSPB6"	"M1"
"RPS26"	"M1"
"FSTL3"	"M1"
"FDFT1"	"M1"
"CD55"	"M1"
"SNTB1"	"M1"
"ASS1"	"M5"
"FADS1"	"M5"
"TGM2"	"M1"
"HDHD3"	"M1"
"COL3A1"	"M3"
"RBM6"	"M1"
"DHCR7"	"M5"
"FN1"	"M1"
"RAP1GAP"	"M1"
"CYBRD1"	"M1"
"ZFP36"	"M4"
"SNCG"	"M1"
"LSS"	"M5"
"RNASE1"	"M3"
"CACNA1H"	"M5"
"PPIB"	"M1"
"PDGFD"	"M1"
"EBP"	"M1"
"COBLL1"	"M1"
"QPRT"	"M4"
"GSTP1"	"M1"
"HMGCR"	"M1"
"PLTP"	"M1"
"PLAGL1"	"M1"
"TAGLN"	"M1"
"SLC26A2"	"M1"
"FBXO9"	"M1"
"IL6ST"	"M1"
"S100A10"	"M1"
"VEGFA"	"M5"
"MLXIPL"	"M1"
"RGS2"	"M4"
"NCAM1"	"M1"
"ATP1B3"	"M4"
"LUM"	"M1"
"MSI2"	"M1"
"DDIT4"	"M1"
"VWA5B2"	"M2"
"DNER"	"M1"
"GPAM"	"M1"
"JUN"	"M4"
"CDKN1A"	"M1"
"C4A"	"M1"
"ALDH1A1"	"M1"
"FOS"	"M1"
"MYO7A"	"M1"
"TNS3"	"M1"
"RPS28"	"M1"
"SLC6A6"	"M1"
"SERPING1"	"M1"
"C1RL"	"M1"
"EGR1"	"M1"
"FBLN1"	"M1"
"GBP2"	"M1"
"NPC1"	"M1"
"PACSIN2"	"M1"
"NRCAM"	"M1"
"FNDC4"	"M1"
"SLC9A3R1"	"M1"
"HSPA1A"	"M1"
"IDI1"	"M5"
"TNFAIP2"	"M1"
"THBS1"	"M1"
"CFLAR"	"M1"
"C1QB"	"M3"
"VTN"	"M1"
"TOB1"	"M4"
"NPTX2"	"M1"
"STEAP4"	"M1"
"AHSA2"	"M1"
"EEF1A2"	"M3"
"CXCR4"	"M1"
"NAMPT"	"M4"
"AEBP1"	"M1"
"HLA-DRB1"	"M3"
"PRKCA"	"M1"
"CD14"	"M3"
"PGM5"	"M1"
"LYVE1"	"M1"
"PLIN2"	"M1"
"TSPAN7"	"M1"
"COL15A1"	"M1"
"FSCN1"	"M1"
"ATP1B1"	"M1"
"NID1"	"M1"
"CPB1"	"M1"
"TUBA1B"	"M1"
"MCOLN3"	"M1"
"C1QTNF1"	"M1"
